iter	Passed	Remaining
0	142	142192
1	143	71379
2	144	48105
3	147	36646
4	149	29659
5	151	25027
6	152	21668
7	155	19257
8	157	17363
9	159	15749
10	160	14388
11	161	13289
12	162	12343
13	163	11530
14	164	10825
15	165	10206
16	167	9704
17	169	9227
18	170	8790
19	171	8381
20	171	8011
21	172	7673
22	173	7362
23	174	7083
24	175	6830
25	176	6598
26	176	6375
27	177	6167
28	178	5972
29	179	5793
30	179	5625
31	180	5471
32	181	5327
33	182	5194
34	183	5067
35	184	4944
36	185	4827
37	186	4716
38	187	4608
39	187	4507
40	188	4409
41	189	4317
42	190	4230
43	190	4146
44	191	4065
45	192	3987
46	193	3915
47	193	3846
48	194	3780
49	195	3714
50	196	3651
51	196	3591
52	197	3535
53	198	3483
54	199	3428
55	200	3374
56	200	3323
57	201	3274
58	202	3226
59	203	3181
60	203	3137
61	204	3095
62	205	3055
63	206	3016
64	206	2976
65	207	2938
66	208	2902
67	209	2864
68	209	2830
69	210	2795
70	211	2761
71	211	2729
72	212	2701
73	213	2673
74	214	2644
75	215	2615
76	215	2586
77	216	2557
78	217	2529
79	217	2504
80	218	2478
81	219	2453
82	219	2424
83	220	2400
84	220	2375
85	221	2353
86	222	2330
87	222	2307
88	223	2284
89	223	2263
90	224	2242
91	225	2221
92	225	2200
93	226	2180
94	226	2160
95	227	2143
96	228	2126
97	229	2110
98	229	2092
99	230	2073
100	231	2056
101	231	2038
102	232	2023
103	233	2007
104	233	1991
105	234	1975
106	234	1959
107	235	1943
108	235	1928
109	236	1913
110	237	1898
111	237	1884
112	238	1869
113	238	1855
114	239	1842
115	239	1828
116	240	1814
117	240	1800
118	241	1788
119	242	1775
120	242	1764
121	243	1751
122	244	1740
123	244	1728
124	245	1716
125	245	1705
126	246	1693
127	246	1681
128	247	1670
129	248	1659
130	248	1648
131	249	1638
132	249	1627
133	250	1617
134	250	1607
135	251	1597
136	251	1587
137	252	1577
138	253	1567
139	253	1558
140	254	1548
141	254	1538
142	255	1529
143	255	1520
144	256	1511
145	256	1502
146	257	1495
147	258	1490
148	259	1483
149	260	1475
150	260	1467
151	261	1459
152	262	1451
153	262	1443
154	263	1435
155	263	1427
156	264	1419
157	264	1412
158	265	1404
159	266	1397
160	266	1389
161	267	1382
162	267	1374
163	268	1367
164	268	1360
165	269	1353
166	270	1347
167	270	1340
168	271	1333
169	271	1327
170	272	1320
171	273	1315
172	274	1310
173	275	1306
174	275	1300
175	276	1295
176	277	1290
177	278	1285
178	279	1279
179	279	1274
180	280	1269
181	281	1263
182	281	1257
183	282	1252
184	283	1247
185	283	1241
186	284	1236
187	285	1231
188	285	1226
189	286	1222
190	287	1217
191	288	1212
192	289	1208
193	289	1204
194	290	1199
195	291	1194
196	291	1189
197	292	1184
198	292	1178
199	293	1174
200	294	1169
201	294	1164
202	295	1159
203	295	1154
204	296	1150
205	297	1145
206	297	1140
207	298	1135
208	298	1131
209	299	1126
210	300	1122
211	300	1117
212	301	1113
213	301	1108
214	302	1104
215	303	1100
216	304	1097
217	304	1093
218	305	1089
219	306	1085
220	306	1081
221	307	1077
222	307	1073
223	308	1068
224	309	1064
225	309	1060
226	310	1056
227	310	1052
228	311	1048
229	311	1044
230	312	1040
231	313	1036
232	313	1032
233	314	1028
234	314	1025
235	315	1021
236	316	1017
237	316	1013
238	317	1010
239	317	1006
240	318	1003
241	319	1000
242	320	997
243	320	994
244	321	990
